,id,Geographic area name,Estimated Percent,Worked full time,Worked full time disability,With a hearing difficulty Worked full time,With a vision difficulty Worked full time,With a cognitive difficulty Worked full time,With an ambulatory difficulty Worked full time,With a self care difficulty Worked full time,With an independent living difficulty Worked full time,No disability Worked full time ,Worked less than full time,Worked less than full time disability,With a hearing difficulty Worked less than full time,With a vision difficulty Worked less than full time,With a cognitive difficulty Worked less than full time,With an ambulatory difficulty Worked less than full time,With a self care difficulty Worked less than full time,With an independent living difficulty Worked less than full time,No disability Worked less than full time,Did not work,Did not work disability,With a hearing difficulty Did not work,With a vision difficulty Did not work,With a cognitive difficulty Did not work,With an ambulatory difficulty Did not work,With a self care difficulty Did not work,With an independent living difficulty Did not work,No disability Did not work,With a hearing difficulty,With a vision difficulty,With a cognitive difficulty,With an ambulatory difficulty,With a self care difficulty,With an independent living difficulty
31,0400000US34,New Jersey,10.3,57.80662834,1.932433172,0.504814947,0.569338498,0.53525512,0.588183295,0.133910871,0.261071642,55.87419517,23.74503637,1.581760899,0.238713095,0.343163943,0.751554187,0.480607058,0.153291977,0.445377088,22.16327547,18.4483353,4.068183029,0.426883666,0.576347505,2.128352488,2.23422733,1.037074133,2.161770102,14.38015227,2.5,1.9,4.1,5.7,2.3,5
32,0400000US35,New Mexico,16,50.62695007,3.119203403,0.999458125,0.892980122,0.813884534,1.165072246,0.300546741,0.445046711,47.50774667,24.50915785,2.676136143,0.654703631,0.643404261,1.207465502,0.917310882,0.227554462,0.619650841,21.83302171,24.86389208,7.861474675,1.461495129,1.505867837,4.097217468,4.583832664,2.017885995,3.747844253,17.00241741,5.2,3.7,6.6,8.7,3.3,7
33,0400000US36,New York,11.6,54.91580384,1.958529455,0.533778468,0.491767894,0.502443464,0.671885834,0.163108699,0.26630587,52.95727439,24.54004214,1.731900701,0.309158155,0.337751347,0.783575124,0.600282015,0.201519081,0.463933076,22.80814143,20.54415402,5.26899768,0.57975592,0.732764081,2.673067564,3.063888407,1.349596979,2.714769788,15.27515634,2.8,2,4.6,6.8,2.8,5.7
34,0400000US37,North Carolina,13.2,54.18889474,2.49406694,0.775303055,0.614009188,0.746509679,0.807377092,0.202302132,0.365586692,51.6948278,24.14135063,2.034790297,0.349708929,0.348243779,1.013724312,0.727096446,0.228499645,0.569146942,22.10656034,21.66975463,6.307819663,0.787629423,1.008739618,3.114127833,3.895211859,1.500727319,3.047718332,15.36193497,3.6,2.4,5.4,7.5,2.7,6
35,0400000US38,North Dakota,11.4,59.74620597,3.37129379,1.474445514,0.687560701,0.997865963,0.753189493,0.138525202,0.367565282,56.37491218,28.22368407,2.439056619,0.475478396,0.506530946,1.107100463,0.729624793,0.271544633,0.689102317,25.78462745,12.03010996,3.37657933,0.530756339,0.615765445,1.687849204,1.902133817,0.884667308,1.897288738,8.653530631,4,2,4.3,5.4,1.9,4.5
36,0400000US39,Ohio,14,55.59654303,2.812005077,0.889708128,0.615940745,0.874213485,0.848819488,0.14824643,0.382330311,52.78453795,25.64580021,2.685781126,0.408341225,0.427250428,1.443053386,0.87576295,0.279233549,0.824960607,22.96001909,18.75765676,6.324755375,0.821129987,0.927196556,3.197606479,3.699675947,1.424345039,3.077910364,12.43290138,3.7,2.3,5.9,7.4,2.6,6.2
37,0400000US40,Oklahoma,16.1,55.36107301,3.962984844,1.424677523,1.118357758,0.949799474,1.293248907,0.232017052,0.476352826,51.39808817,22.08317393,2.538610951,0.576594255,0.584618775,1.159174368,0.851770209,0.258085896,0.72407191,19.54456298,22.55575306,7.578269428,1.340138126,1.452741653,3.61645573,4.443588496,1.614229685,3.501336408,14.97748363,5.2,3.5,6.1,8.9,2.9,6.9
38,0400000US41,Oregon,14.7,51.64413395,2.99842462,0.986852014,0.531685789,1.022647209,0.75095581,0.129958075,0.444056022,48.64570933,28.9855407,3.121223656,0.728109478,0.544712893,1.628466217,0.942176481,0.253813362,0.905207673,25.86431704,19.37032535,5.858362912,0.737615743,0.81620869,3.408484987,3.081399056,1.285888595,3.01289918,13.51196244,4.6,2.4,6.5,7.2,2.7,6.3
39,0400000US42,Pennsylvania,14,56.34932789,2.788965347,0.858119081,0.599539685,0.917965994,0.823051715,0.179501571,0.422858126,53.56036254,24.76636008,2.399242357,0.366692895,0.369604296,1.288901962,0.691268396,0.240014319,0.708044853,22.36711772,18.88431203,6.293560856,0.81577974,0.976990403,3.312651943,3.562745193,1.552063876,3.190412274,12.59075117,3.8,2.3,6.1,7.4,2.9,6.5
40,0400000US44,Rhode Island,13.1,55.53522651,2.472934749,0.854628302,0.376533647,0.595723524,0.70228679,0.100954673,0.356221445,53.06229176,26.84863772,2.10261603,0.290434166,0.169318874,1.177956107,0.545700938,0.175988552,0.67106057,24.74602169,17.61613577,6.443060655,0.899345462,0.879488011,3.661350125,3.256470346,1.499919661,3.658318453,11.17307512,3.6,1.9,5.8,6.5,2.8,6.6
